ML1G000200	KOG4535
ML1G000300	KOG1205
ML1G000700	KOG1627
ML1G000800	KOG1627
ML1G001000	KOG3043
ML1G001100	KOG1694
ML1G001200	KOG1471
ML1G001300	KOG1237
ML1G001400	KOG1237
ML1G001700	KOG2886
ML1G001800	KOG0268
ML1G001800	KOG0531
ML1G002200	KOG1187
ML1G002300	KOG4235
ML1G002500	KOG2619
ML1G002600	KOG1308
ML1G002700	KOG4102
ML1G002800	KOG0069
ML1G003300	KOG4628
ML1G003700	KOG3140
ML1G004000	KOG1187
ML1G004100	KOG0557
ML1G004500	KOG4841
ML1G004900	KOG1347
ML1G005000	KOG0157
ML1G005300	KOG1187
ML1G005400	KOG1187
ML1G005800	KOG2767
ML1G006000	KOG2288
ML1G006200	KOG2747
ML1G006300	KOG3218
ML1G006500	KOG3393
ML1G006900	KOG0027
ML1G007100	KOG1187
ML1G007400	KOG0596
ML1G008000	KOG3483
ML1G008100	KOG0715
ML1G008400	KOG1187
ML1G008500	KOG3162
ML1G008600	KOG0257
ML1G008700	KOG0231
ML1G009000	KOG2275
ML1G009100	KOG1691
ML1G009400	KOG3182
ML1G009800	KOG1441
ML1G010200	KOG4474
ML1G011000	KOG3094
ML1G011200	KOG0242
ML1G011300	KOG1279
ML1G011500	KOG1303
ML1G011900	KOG0143
ML1G012400	KOG0027
ML1G012900	KOG1187
ML1G013100	KOG0691
ML1G013400	KOG0080
ML1G013500	KOG0080
ML1G015000	KOG2641
ML1G015100	KOG4533
ML1G015500	KOG4282
ML1G015600	KOG4282
ML1G015700	KOG3460
ML1G015900	KOG2871
ML1G016100	KOG4473
ML1G016500	KOG1427
ML1G016600	KOG1187
ML1G017100	KOG4569
ML1G018400	KOG4248
ML1G018500	KOG2840
ML1G018700	KOG2364
ML1G019500	KOG1591
ML1G019700	KOG2614
ML1G020100	KOG4650
ML1G020300	KOG3029
ML1G020500	KOG2907
ML1G020700	KOG1187
ML1G021700	KOG0143
ML1G022000	KOG0935
ML1G022200	KOG1331
ML1G022500	KOG3123
ML1G022800	KOG3075
ML1G023300	KOG4636
ML1G024100	KOG1745
ML1G024200	KOG1745
ML1G024400	KOG0232
ML1G024600	KOG4409
ML1G024900	KOG1118
ML1G026000	KOG2905
ML1G026200	KOG2637
ML1G026300	KOG1603
ML1G026400	KOG1542
ML1G026400	KOG1543
ML1G026600	KOG0907
ML1G026800	KOG0427
ML1G027400	KOG0410
ML1G027500	KOG1187
ML1G027800	KOG1815
ML1G027900	KOG0032
ML1G028400	KOG2855
ML1G028600	KOG2632
ML1G028700	KOG0106
ML1G028700	KOG0131
ML1G028700	KOG4206
ML1G028800	KOG1000
ML1G028900	KOG4442
ML1G029100	KOG0254
ML1G029200	KOG3499
ML1G030300	KOG4567
ML1G031200	KOG0544
ML1G031300	KOG1987
ML1G031400	KOG1950
ML1G031500	KOG1761
ML1G031900	KOG3118
ML1G032400	KOG1032
ML1G033400	KOG3377
ML1G033500	KOG1252
ML1G034100	KOG1950
ML1G034300	KOG1441
ML1G034500	KOG0875
ML1G034800	KOG1778
ML1G034900	KOG1192
ML1G035000	KOG1043
ML1G035100	KOG0192
ML1G035200	KOG2663
ML1G035800	KOG4412
ML1G035900	KOG0565
ML1G036000	KOG0344
ML1G036500	KOG0156
ML1G036700	KOG1347
ML1G037000	KOG1305
ML1G037100	KOG0156
ML1G037200	KOG3178
ML1G037800	KOG0156
ML1G038200	KOG1192
ML1G038400	KOG3109
ML1G038800	KOG1192
ML1G039400	KOG1192
ML1G040100	KOG3178
ML1G040200	KOG3178
ML1G041100	KOG1855
